============================================================
  K-line fetch: 2026-01
  Range: 2025-11-02 ~ 2026-01-31
  Dir: D:\pythonProject\openclaw-quant-system\data\klines\2026-01
============================================================
Stock pool: 800 codes
Already have 256 stocks
Need to fetch 544 stocks...
  [10/544] ok=266 fail=0 (25s, ETA 1360s)
  [20/544] ok=276 fail=0 (50s, ETA 1321s)
  [30/544] ok=286 fail=0 (78s, ETA 1333s)
  [40/544] ok=296 fail=0 (102s, ETA 1286s)
  [50/544] ok=306 fail=0 (129s, ETA 1270s)
  [60/544] ok=316 fail=0 (156s, ETA 1260s)
  [70/544] ok=326 fail=0 (186s, ETA 1257s)
  [80/544] ok=336 fail=0 (215s, ETA 1245s)
  [90/544] ok=346 fail=0 (246s, ETA 1241s)
  [100/544] ok=356 fail=0 (271s, ETA 1204s)
  [110/544] ok=366 fail=0 (297s, ETA 1171s)
  [120/544] ok=376 fail=0 (325s, ETA 1150s)
  [130/544] ok=386 fail=0 (352s, ETA 1123s)
  [140/544] ok=396 fail=0 (390s, ETA 1125s)
  [150/544] ok=406 fail=0 (421s, ETA 1106s)
  [160/544] ok=416 fail=0 (444s, ETA 1067s)
  [170/544] ok=426 fail=0 (470s, ETA 1034s)
  [180/544] ok=436 fail=0 (496s, ETA 1003s)
  [190/544] ok=446 fail=0 (520s, ETA 970s)
  [200/544] ok=456 fail=0 (555s, ETA 954s)
  [210/544] ok=466 fail=0 (579s, ETA 920s)
  [220/544] ok=476 fail=0 (604s, ETA 890s)
  [230/544] ok=486 fail=0 (632s, ETA 862s)
  [240/544] ok=496 fail=0 (658s, ETA 833s)
  [250/544] ok=506 fail=0 (681s, ETA 801s)
  [260/544] ok=516 fail=0 (708s, ETA 773s)
  [270/544] ok=526 fail=0 (731s, ETA 742s)
  [280/544] ok=536 fail=0 (758s, ETA 714s)
  [290/544] ok=546 fail=0 (783s, ETA 686s)
  [300/544] ok=556 fail=0 (811s, ETA 660s)
  [310/544] ok=566 fail=0 (837s, ETA 632s)
  [320/544] ok=576 fail=0 (863s, ETA 604s)
  [330/544] ok=586 fail=0 (888s, ETA 576s)
  [340/544] ok=596 fail=0 (913s, ETA 548s)
  [350/544] ok=606 fail=0 (942s, ETA 522s)
  [360/544] ok=616 fail=0 (969s, ETA 495s)
  [370/544] ok=626 fail=0 (995s, ETA 468s)
  [380/544] ok=636 fail=0 (1020s, ETA 440s)
  [390/544] ok=646 fail=0 (1044s, ETA 412s)
  [400/544] ok=656 fail=0 (1072s, ETA 386s)
  [410/544] ok=666 fail=0 (1099s, ETA 359s)
  [420/544] ok=676 fail=0 (1127s, ETA 333s)
  [430/544] ok=686 fail=0 (1156s, ETA 306s)
  [440/544] ok=696 fail=0 (1182s, ETA 279s)
  [450/544] ok=706 fail=0 (1212s, ETA 253s)
  [460/544] ok=716 fail=0 (1240s, ETA 226s)
  [470/544] ok=726 fail=0 (1267s, ETA 199s)
  [480/544] ok=736 fail=0 (1296s, ETA 173s)
  [490/544] ok=746 fail=0 (1327s, ETA 146s)
  [500/544] ok=756 fail=0 (1358s, ETA 119s)
  [510/544] ok=766 fail=0 (1387s, ETA 92s)
  [520/544] ok=776 fail=0 (1417s, ETA 65s)
  [530/544] ok=786 fail=0 (1445s, ETA 38s)
  [540/544] ok=796 fail=0 (1470s, ETA 11s)
  [544/544] ok=800 fail=0 (1481s, ETA 0s)

Done! ok=800 fail=0 (1481s)
