============================================================
  K-line fetch: 2026-02
  Range: 2025-12-03 ~ 2026-02-28
  Dir: D:\pythonProject\openclaw-quant-system\data\klines\2026-02
============================================================
Stock pool: 800 codes
Need to fetch 800 stocks...
  [10/800] ok=10 fail=0 (21s, ETA 1691s)
  [20/800] ok=20 fail=0 (40s, ETA 1573s)
  [30/800] ok=30 fail=0 (60s, ETA 1537s)
  [40/800] ok=40 fail=0 (79s, ETA 1501s)
  [50/800] ok=50 fail=0 (99s, ETA 1492s)
  [60/800] ok=60 fail=0 (120s, ETA 1481s)
  [70/800] ok=70 fail=0 (138s, ETA 1440s)
  [80/800] ok=80 fail=0 (158s, ETA 1423s)
  [90/800] ok=90 fail=0 (176s, ETA 1390s)
  [100/800] ok=100 fail=0 (197s, ETA 1378s)
  [110/800] ok=110 fail=0 (215s, ETA 1351s)
  [120/800] ok=120 fail=0 (236s, ETA 1336s)
  [130/800] ok=130 fail=0 (256s, ETA 1317s)
  [140/800] ok=140 fail=0 (278s, ETA 1310s)
  [150/800] ok=150 fail=0 (297s, ETA 1286s)
  [160/800] ok=160 fail=0 (319s, ETA 1277s)
  [170/800] ok=170 fail=0 (337s, ETA 1249s)
  [180/800] ok=180 fail=0 (360s, ETA 1240s)
  [190/800] ok=190 fail=0 (383s, ETA 1228s)
  [200/800] ok=200 fail=0 (404s, ETA 1212s)
  [210/800] ok=210 fail=0 (424s, ETA 1192s)
  [220/800] ok=220 fail=0 (444s, ETA 1171s)
  [230/800] ok=230 fail=0 (463s, ETA 1148s)
  [240/800] ok=240 fail=0 (485s, ETA 1132s)
  [250/800] ok=250 fail=0 (506s, ETA 1112s)
  [260/800] ok=260 fail=0 (528s, ETA 1097s)
  [270/800] ok=270 fail=0 (550s, ETA 1079s)
  [280/800] ok=280 fail=0 (568s, ETA 1054s)
  [290/800] ok=290 fail=0 (592s, ETA 1042s)
  [300/800] ok=300 fail=0 (612s, ETA 1020s)
  [310/800] ok=310 fail=0 (631s, ETA 998s)
  [320/800] ok=320 fail=0 (649s, ETA 973s)
  [330/800] ok=330 fail=0 (670s, ETA 954s)
  [340/800] ok=340 fail=0 (688s, ETA 931s)
  [350/800] ok=350 fail=0 (715s, ETA 919s)
  [360/800] ok=360 fail=0 (735s, ETA 899s)
  [370/800] ok=370 fail=0 (753s, ETA 875s)
  [380/800] ok=380 fail=0 (774s, ETA 856s)
  [390/800] ok=390 fail=0 (796s, ETA 837s)
  [400/800] ok=400 fail=0 (816s, ETA 816s)
  [410/800] ok=410 fail=0 (837s, ETA 796s)
  [420/800] ok=420 fail=0 (854s, ETA 773s)
  [430/800] ok=430 fail=0 (874s, ETA 752s)
  [440/800] ok=440 fail=0 (893s, ETA 731s)
  [450/800] ok=450 fail=0 (913s, ETA 710s)
  [460/800] ok=460 fail=0 (932s, ETA 689s)
  [470/800] ok=470 fail=0 (952s, ETA 668s)
  [480/800] ok=480 fail=0 (972s, ETA 648s)
  [490/800] ok=490 fail=0 (993s, ETA 628s)
  [500/800] ok=500 fail=0 (1013s, ETA 608s)
  [510/800] ok=510 fail=0 (1034s, ETA 588s)
  [520/800] ok=520 fail=0 (1053s, ETA 567s)
  [530/800] ok=530 fail=0 (1073s, ETA 547s)
  [540/800] ok=540 fail=0 (1092s, ETA 526s)
  [550/800] ok=550 fail=0 (1114s, ETA 507s)
  [560/800] ok=560 fail=0 (1135s, ETA 487s)
  [570/800] ok=570 fail=0 (1161s, ETA 468s)
  [580/800] ok=580 fail=0 (1180s, ETA 447s)
  [590/800] ok=590 fail=0 (1201s, ETA 428s)
  [600/800] ok=600 fail=0 (1225s, ETA 408s)
  [610/800] ok=610 fail=0 (1245s, ETA 388s)
  [620/800] ok=620 fail=0 (1266s, ETA 367s)
  [630/800] ok=630 fail=0 (1286s, ETA 347s)
  [640/800] ok=640 fail=0 (1309s, ETA 327s)
  [650/800] ok=650 fail=0 (1332s, ETA 307s)
  [660/800] ok=660 fail=0 (1354s, ETA 287s)
  [670/800] ok=670 fail=0 (1376s, ETA 267s)
  [680/800] ok=680 fail=0 (1402s, ETA 247s)
  [690/800] ok=690 fail=0 (1423s, ETA 227s)
  [700/800] ok=700 fail=0 (1445s, ETA 206s)
  [710/800] ok=710 fail=0 (1464s, ETA 186s)
  [720/800] ok=720 fail=0 (1485s, ETA 165s)
  [730/800] ok=730 fail=0 (1511s, ETA 145s)
