================================================================================
  双策略回测报告 — 模拟数据
================================================================================

  初始资金:     1,000,000.00 元
  最终资金:       950,781.03 元
  总盈亏:          -1,731.97 元
  总收益率:            -4.92%
  交易笔数:               23
  盈利笔数:                6
  亏损笔数:               17
  胜率:                26.1%
  平均每笔:           -0.00%
  最大单笔盈利:      +10.00%
  最大单笔亏损:       -3.00%

========================================================================================================================
  逐笔交易明细:
========================================================================================================================
  序号 买入日          卖出日          代码           策略             买价       卖价      盈亏%        盈亏元 原因                  
──── ──────────── ──────────── ──────────── ──────── ──────── ──────── ──────── ────────── ────────────────────
   1 2025-06-10   2025-06-13   000001.035   右侧企稳        66.23    64.91   -2.00%       -927 T+3止损-2.0%          
   2 2025-06-23   2025-06-26   600001.074   右侧企稳       105.51   103.40   -2.00%       -844 T+3止损-2.0%          
   3 2025-06-25   2025-07-01   000001.038   右侧企稳        17.68    17.33   -2.00%       -990 T+4止损-2.0%          
   4 2025-07-10   2025-07-15   000001.007   右侧企稳        31.76    34.94  +10.00%     +4,764 T+3止盈+10.0%         
   5 2025-08-04   2025-08-11   000001.015   右侧企稳        87.59    87.00   -0.67%       -295 T+5到期               
   6 2025-08-14   2025-08-15   600001.077   右侧企稳        54.59    52.95   -3.00%     -1,474 T+1止损-3.0%          
   7 2025-08-18   2025-08-22   600001.051   右侧企稳        38.38    37.61   -2.00%       -998 T+4止损-2.0%          
   8 2025-08-19   2025-08-25   000001.028   右侧企稳        63.13    61.87   -2.00%       -884 T+4止损-2.0%          
   9 2025-09-08   2025-09-11   000001.033   右侧企稳        41.87    41.03   -2.00%       -921 T+3止损-2.0%          
  10 2025-09-12   2025-09-15   000001.028   右侧企稳        68.56    72.35   +5.53%     +2,653 T+1止盈+5.5%          
  11 2025-10-02   2025-10-09   000001.014   右侧企稳        28.40    29.19   +2.78%     +1,343 T+5到期               
  12 2025-10-22   2025-10-29   600001.082   右侧企稳        77.23    79.68   +3.17%     +1,470 T+5到期               
  13 2025-11-18   2025-11-21   600001.078   右侧企稳        52.62    51.57   -2.00%       -947 T+3止损-2.0%          
  14 2025-11-21   2025-11-27   600001.068   右侧企稳        38.63    37.86   -2.00%       -927 T+4止损-2.0%          
  15 2026-02-03   2026-02-09   000001.041   右侧企稳        51.31    50.28   -2.00%       -924 T+4止损-2.0%          
  16 2026-02-09   2026-02-11   000001.045   右侧企稳       107.86   105.70   -2.00%       -863 T+2止损-2.0%          
  17 2026-02-19   2026-02-20   000001.000   右侧企稳        59.38    57.60   -3.00%     -1,425 T+1止损-3.0%          
  18 2026-03-06   2026-03-10   600001.068   右侧企稳        45.44    44.53   -2.00%     -1,000 T+2止损-2.0%          
  19 2026-03-20   2026-03-23   000001.045   右侧企稳       117.73   114.20   -3.00%     -1,413 T+1止损-3.0%          
  20 2026-04-08   2026-04-15   600001.091   右侧企稳       192.56   196.76   +2.18%       +840 T+5到期               
  21 2026-04-29   2026-04-30   600001.060   右侧企稳        56.13    54.45   -3.00%     -1,347 T+1止损-3.0%          
  22 2026-05-04   2026-05-07   600001.072   右侧企稳       173.75   170.28   -2.00%       -695 T+3止损-2.0%          
  23 2026-05-13   2026-05-19   600001.057   右侧企稳       101.79   111.97  +10.00%     +4,072 T+4止盈+10.0%         
