Connecting...
Connected!
Trading days: 33

Date       | Breadth | Adv | Dec | Active | L1>0.3 | L2_pass | L2_PE_neg | L2_PE_high
-----------------------------------------------------------------------------------------------
2026-04-01 | 0.817 | 2513 |  500 |  2497 |     1 |     0 |     0 |     0
2026-04-02 | 0.162 |  498 | 2548 |  2457 |    14 |     0 |     0 |     0
2026-04-03 | 0.122 |  375 | 2684 |  2434 |    20 |     0 |     0 |     0
2026-04-07 | 0.766 | 2355 |  672 |  2386 |    25 |     0 |     0 |     0
2026-04-08 | 0.947 | 2913 |  152 |  2666 |    62 |     0 |     0 |     0
2026-04-09 | 0.212 |  651 | 2391 |  2489 |    50 |     0 |     0 |     0
2026-04-10 | 0.723 | 2224 |  772 |  2476 |     1 |     0 |     0 |     0
2026-04-13 | 0.463 | 1424 | 1550 |  2406 |     3 |     0 |     0 |     0
2026-04-14 | 0.689 | 2121 |  856 |  2506 |    16 |     0 |     0 |     0
2026-04-15 | 0.297 |  914 | 2103 |  2493 |    29 |     0 |     0 |     0
2026-04-16 | 0.801 | 2464 |  538 |  2524 |     1 |     0 |     0 |     0
2026-04-17 | 0.391 | 1204 | 1798 |  2543 |     1 |     0 |     0 |     0
2026-04-20 | 0.636 | 1957 | 1012 |  2524 |    15 |     0 |     0 |     0
2026-04-21 | 0.339 | 1044 | 1958 |  2494 |     1 |     0 |     0 |     0
2026-04-22 | 0.503 | 1550 | 1445 |  2479 |    27 |     0 |     0 |     0
2026-04-23 | 0.231 |  711 | 2320 |  2618 |    20 |     0 |     0 |     0
2026-04-24 | 0.388 | 1196 | 1815 |  2618 |    40 |     0 |     0 |     0
2026-04-27 | 0.625 | 1924 | 1089 |  2776 |    47 |     0 |     0 |     0
2026-04-28 | 0.314 |  966 | 2044 |  2732 |    24 |     0 |     0 |     0
2026-04-29 | 0.729 | 2246 |  751 |  2753 |    47 |     0 |     0 |     0
2026-04-30 | 0.516 | 1591 | 1392 |  2653 |     1 |     0 |     0 |     0
2026-05-06 | 0.720 | 2218 |  775 |  2833 |    29 |     0 |     0 |     0
2026-05-07 | 0.622 | 3228 | 1782 |  4606 |    54 |     0 |     0 |     0
2026-05-08 | 0.650 | 3376 | 1683 |  3503 |    15 |     0 |     0 |     0
2026-05-12 | 0.245 | 1277 | 3848 |  4643 |    14 |     0 |     0 |     0
2026-05-13 | 0.584 | 3036 | 2007 |  4481 |  4456 |  1544 |   729 |   702
2026-05-14 | 0.194 | 1009 | 4114 |  4569 |    22 |     0 |     0 |     0
2026-05-15 | 0.326 | 1692 | 3403 |  4574 |   145 |     0 |     1 |     1
2026-05-18 | 0.445 | 2311 | 2757 |  4503 |    98 |    34 |    39 |    25
2026-05-19 | 0.647 | 3356 | 1712 |  4315 |    49 |     0 |     0 |     0
2026-05-20 | 0.308 | 1599 | 3530 |  4310 |    10 |     0 |     0 |     0
2026-05-21 | 0.128 |  667 | 4488 |  4628 |     2 |     0 |     0 |     0
2026-05-22 | 0.622 | 3234 | 1807 |  3452 |     0 |     0 |     0 |     0

Done!
