高分组(>27.5): 81笔
中分组(25.0-27.5): 78笔
低分组(<=25.0): 88笔

==================================================================================================================================
高分组逐笔交易详情 (composite_score > 27.5)
==================================================================================================================================
代码           信号日             综合分    E分      入场价     退出收益     最大浮盈 退出方式                 持有天数    10日收益    20日收益
----------------------------------------------------------------------------------------------------------------------------------
001382.SZ    2026-01-14     29.2   7.3    20.94   -1.38%    5.83% trailing_stop          10   -1.38%   -1.24%
002543.SZ    2026-01-26     29.1   7.3    10.22  -11.55%    0.00% stop_loss               5   -7.83%  -12.33%
000885.SZ    2026-01-12     29.1   7.3    13.97   -2.65%    2.08% trailing_stop          15    2.08%   -1.57%
301632.SZ    2026-01-26     29.0   7.3    25.91    0.54%    4.17% trailing_stop           3   -5.44%  -12.58%
301585.SZ    2026-01-12     28.9   7.2    31.24    3.71%    8.83% trailing_stop          18    3.23%    4.39%
000877.SZ    2026-01-21     28.9   7.2     5.64   -9.57%    1.95% stop_loss               8   -6.03%   -3.01%
001289.SZ    2026-01-16     28.9   7.2    16.01   10.31%   19.80% trailing_stop          45   -2.19%   -2.75%
002761.SZ    2026-01-20     28.9   7.2     8.73   -8.25%    1.37% stop_loss              25   -2.75%   -1.49%
002746.SZ    2026-01-12     28.9   7.2     6.14    1.95%    7.17% trailing_stop          42    3.58%    4.72%
600248.SH    2026-01-20     28.9   7.2     3.64   -0.82%    2.75% trailing_stop          35   -2.47%   -0.82%
600059.SH    2026-01-12     28.9   7.2     9.32    9.44%   16.85% trailing_stop          14    4.29%    9.55%
000498.SZ    2026-01-13     28.9   7.2     6.13   -0.33%    3.26% trailing_stop          23    1.31%    1.96%
002926.SZ    2026-04-27     28.8   7.2     8.73   -7.33%    0.46% stop_loss               7   -1.72%      N/A
000783.SZ    2026-01-05     28.8   7.2     8.85   -9.04%    1.58% stop_loss              20   -3.28%   -9.04%
300070.SZ    2026-01-20     28.8   7.2     4.10   -1.22%    2.93% trailing_stop          24   -1.71%    1.46%
001358.SZ    2026-01-19     28.8   7.2    28.06   -0.32%    5.10% trailing_stop          13    0.43%    8.16%
000623.SZ    2026-01-05     28.8   7.2    20.87   -9.54%    0.00% stop_loss              20   -3.16%   -9.54%
600062.SH    2026-01-20     28.7   7.2    18.59   -1.29%    2.31% trailing_stop           9   -0.05%   -0.54%
002573.SZ    2026-01-21     28.7   7.2     3.93   -0.51%    2.54% trailing_stop          24   -1.53%    1.27%
002034.SZ    2026-01-16     28.7   7.2    16.47    4.86%   14.57% trailing_stop          40    2.49%    3.95%
301371.SZ    2026-01-21     28.7   7.2    24.97    0.80%    4.61% trailing_stop          16   -0.68%   -1.04%
600035.SH    2026-01-21     28.7   7.2     4.01   -7.23%    1.00% stop_loss              37   -1.00%   -0.50%
002267.SZ    2026-01-15     28.7   7.2     7.68    1.04%    4.43% trailing_stop          17    4.43%    1.56%
