============================================================
  隔夜八步法策略回测
  初始资金: 10万元 | 止盈+2% | 止损-2%
============================================================
步骤1: 从数据库加载数据(服务端游标分批)...
  已加载 100000 条...
  已加载 200000 条...
  已加载 300000 条...
  已加载 400000 条...
  已加载 500000 条...
  已加载 600000 条...
  已加载 700000 条...
  已加载 800000 条...
  已加载 900000 条...
  已加载 1000000 条...
  已加载 1011593 条...
  加载完成: 1011591 条, 5197 只, 耗时68.5s
  日期: 2025-01-02 ~ 2026-05-15
步骤2: 计算MA5...
  MA5完成, 耗时2.7s
步骤3: 计算量比...
  量比完成, 耗时2.0s
步骤4: 计算连板...
  连板完成, 耗时7.4s
  量比覆盖: 985571/1011591 (97.4%)
  MA5覆盖: 985629/1011591 (97.4%)

################################################################################
  回测模式: 只买稳健池(涨幅3%-6%)
################################################################################
  总交易日: 327
  2025-01-24→2025-01-27 | 5只 | 盈亏-577.68 | 资金99,422.32
  2025-01-27→2025-02-05 | 5只 | 盈亏+1,162.80 | 资金100,585.12
  2025-02-05→2025-02-06 | 5只 | 盈亏-34.30 | 资金100,550.82
  2025-02-06→2025-02-07 | 5只 | 盈亏+1,956.04 | 资金102,506.86
  2025-02-07→2025-02-10 | 5只 | 盈亏-710.86 | 资金101,796.00
  2025-02-10→2025-02-11 | 5只 | 盈亏-1,518.44 | 资金100,277.56
  2025-02-11→2025-02-12 | 5只 | 盈亏-1,956.20 | 资金98,321.36
  2025-02-12→2025-02-13 | 5只 | 盈亏+467.02 | 资金98,788.38
  2025-02-13→2025-02-14 | 5只 | 盈亏+1,205.90 | 资金99,994.28
  2025-02-14→2025-02-17 | 5只 | 盈亏+810.58 | 资金100,804.86
  2025-02-17→2025-02-18 | 5只 | 盈亏-353.66 | 资金100,451.20
  2025-02-18→2025-02-19 | 5只 | 盈亏+728.88 | 资金101,180.08
  2025-02-19→2025-02-20 | 5只 | 盈亏+82.68 | 资金101,262.76
  2025-02-20→2025-02-21 | 5只 | 盈亏-754.40 | 资金100,508.36
  2025-02-21→2025-02-24 | 5只 | 盈亏-51.46 | 资金100,456.90
  2025-02-24→2025-02-25 | 5只 | 盈亏-907.36 | 资金99,549.54
  2025-02-25→2025-02-26 | 5只 | 盈亏+881.88 | 资金100,431.42
  2025-02-26→2025-02-27 | 5只 | 盈亏+322.70 | 资金100,754.12
  2025-02-27→2025-02-28 | 5只 | 盈亏-1,155.32 | 资金99,598.80
  2025-02-28→2025-03-03 | 5只 | 盈亏+1,937.30 | 资金101,536.10
  2025-03-03→2025-03-04 | 5只 | 盈亏+364.44 | 资金101,900.54
  2025-03-04→2025-03-05 | 5只 | 盈亏-1,444.66 | 资金100,455.88
  2025-03-05→2025-03-06 | 5只 | 盈亏+195.90 | 资金100,651.78
  2025-03-06→2025-03-07 | 5只 | 盈亏-49.48 | 资金100,602.30
  2025-03-07→2025-03-10 | 5只 | 盈亏+414.38 | 资金101,016.68
  2025-03-10→2025-03-11 | 5只 | 盈亏-16.30 | 资金101,000.38
  2025-03-11→2025-03-12 | 5只 | 盈亏+1,977.20 | 资金102,977.58
  2025-03-12→2025-03-13 | 5只 | 盈亏+693.16 | 资金103,670.74
  2025-03-13→2025-03-14 | 5只 | 盈亏-901.36 | 资金102,769.38
  2025-03-14→2025-03-17 | 5只 | 盈亏+2,880.16 | 资金105,649.54
  2025-03-17→2025-03-18 | 5只 | 盈亏+182.72 | 资金105,832.26
  2025-03-18→2025-03-19 | 5只 | 盈亏-568.14 | 资金105,264.12
  2025-03-19→2025-03-20 | 5只 | 盈亏-2,029.60 | 资金103,234.52
  2025-03-20→2025-03-21 | 5只 | 盈亏-401.08 | 资金102,833.44
  2025-03-21→2025-03-24 | 5只 | 盈亏+983.86 | 资金103,817.30
  2025-03-24→2025-03-25 | 5只 | 盈亏-96.52 | 资金103,720.78
  2025-03-25→2025-03-26 | 5只 | 盈亏-1,283.50 | 资金102,437.28
  2025-03-26→2025-03-27 | 5只 | 盈亏-1,225.84 | 资金101,211.44
  2025-03-27→2025-03-28 | 5只 | 盈亏-1,866.64 | 资金99,344.80
  2025-03-28→2025-03-31 | 5只 | 盈亏-1,228.70 | 资金98,116.10
  2025-03-31→2025-04-01 | 5只 | 盈亏-987.80 | 资金97,128.30
  2025-04-01→2025-04-02 | 5只 | 盈亏-911.20 | 资金96,217.10
  2025-04-02→2025-04-03 | 5只 | 盈亏-437.92 | 资金95,779.18
  2025-04-03→2025-04-07 | 5只 | 盈亏-6,189.00 | 资金89,590.18
  2025-04-07→2025-04-08 | 3只 | 盈亏-773.06 | 资金88,817.12
  2025-04-08→2025-04-09 | 5只 | 盈亏-1,139.26 | 资金87,677.86
  2025-04-09→2025-04-10 | 5只 | 盈亏+1,714.52 | 资金89,392.38
  2025-04-10→2025-04-11 | 5只 | 盈亏-515.92 | 资金88,876.46
  2025-04-11→2025-04-14 | 5只 | 盈亏+1,621.00 | 资金90,497.46
  2025-04-14→2025-04-15 | 5只 | 盈亏+108.36 | 资金90,605.82
  2025-04-15→2025-04-16 | 5只 | 盈亏-486.58 | 资金90,119.24
  2025-04-16→2025-04-17 | 5只 | 盈亏-1,081.28 | 资金89,037.96
  2025-04-17→2025-04-18 | 5只 | 盈亏-988.34 | 资金88,049.62
  2025-04-18→2025-04-21 | 5只 | 盈亏-1,119.20 | 资金86,930.42
  2025-04-21→2025-04-22 | 5只 | 盈亏+353.24 | 资金87,283.66
  2025-04-22→2025-04-23 | 5只 | 盈亏-483.96 | 资金86,799.70
  2025-04-23→2025-04-24 | 5只 | 盈亏-366.42 | 资金86,433.28
  2025-04-24→2025-04-25 | 5只 | 盈亏+711.16 | 资金87,144.44
  2025-04-25→2025-04-28 | 5只 | 盈亏-562.72 | 资金86,581.72
  2025-04-28→2025-04-29 | 5只 | 盈亏-535.42 | 资金86,046.30
  2025-04-29→2025-04-30 | 5只 | 盈亏+983.98 | 资金87,030.28
  2025-04-30→2025-05-06 | 5只 | 盈亏+1,741.70 | 资金88,771.98
  2025-05-06→2025-05-07 | 5只 | 盈亏+2,287.02 | 资金91,059.00
  2025-05-07→2025-05-08 | 5只 | 盈亏-373.34 | 资金90,685.66
  2025-05-08→2025-05-09 | 5只 | 盈亏-362.12 | 资金90,323.54
  2025-05-09→2025-05-12 | 5只 | 盈亏-340.60 | 资金89,982.94
  2025-05-12→2025-05-13 | 5只 | 盈亏-5.64 | 资金89,977.30
  2025-05-13→2025-05-14 | 5只 | 盈亏-745.88 | 资金89,231.42
  2025-05-14→2025-05-15 | 5只 | 盈亏+464.98 | 资金89,696.40
  2025-05-15→2025-05-16 | 5只 | 盈亏-2,015.36 | 资金87,681.04
  2025-05-16→2025-05-19 | 5只 | 盈亏-184.30 | 资金87,496.74
  2025-05-19→2025-05-20 | 5只 | 盈亏+836.02 | 资金88,332.76
  2025-05-20→2025-05-21 | 5只 | 盈亏-1,718.94 | 资金86,613.82
  2025-05-21→2025-05-22 | 5只 | 盈亏-1,025.74 | 资金85,588.08
  2025-05-22→2025-05-23 | 5只 | 盈亏+402.72 | 资金85,990.80
  2025-05-23→2025-05-26 | 5只 | 盈亏-44.26 | 资金85,946.54
  2025-05-26→2025-05-27 | 5只 | 盈亏+834.28 | 资金86,780.82
  2025-05-27→2025-05-28 | 5只 | 盈亏+384.28 | 资金87,165.10
  2025-05-28→2025-05-29 | 5只 | 盈亏-4,654.14 | 资金82,510.96
  2025-05-29→2025-05-30 | 5只 | 盈亏-822.48 | 资金81,688.48
  2025-05-30→2025-06-03 | 5只 | 盈亏-1,303.92 | 资金80,384.56
  2025-06-03→2025-06-04 | 5只 | 盈亏+377.02 | 资金80,761.58
  2025-06-04→2025-06-05 | 5只 | 盈亏-131.60 | 资金80,629.98
  2025-06-05→2025-06-06 | 5只 | 盈亏-748.28 | 资金79,881.70
  2025-06-06→2025-06-09 | 5只 | 盈亏+501.98 | 资金80,383.68
  2025-06-09→2025-06-10 | 5只 | 盈亏+310.00 | 资金80,693.68
  2025-06-10→2025-06-11 | 5只 | 盈亏-877.26 | 资金79,816.42
  2025-06-11→2025-06-12 | 5只 | 盈亏-1,032.40 | 资金78,784.02
  2025-06-12→2025-06-13 | 5只 | 盈亏-888.44 | 资金77,895.58
  2025-06-13→2025-06-16 | 5只 | 盈亏+227.96 | 资金78,123.54
  2025-06-16→2025-06-17 | 5只 | 盈亏+337.92 | 资金78,461.46
  2025-06-17→2025-06-18 | 5只 | 盈亏+265.70 | 资金78,727.16
